PERMNO,HdrCUSIP,SecurityNm,Ticker,PERMCO,IssuerNm,MthCalDt,MthPrc,MthPrcDt
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-05-30,415.090000,2025-05-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-06-30,386.880000,2025-06-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-07-31,357.690000,2025-07-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-08-29,356.700000,2025-08-29
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-09-30,352.750000,2025-09-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-10-31,340.310000,2025-10-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-11-28,320.130000,2025-11-28
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2025-12-31,349.990000,2025-12-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-01-31,2008.720000,2020-01-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-02-28,1883.750000,2020-02-28
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-03-31,1949.720000,2020-03-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-04-30,2474.000000,2020-04-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-05-29,2442.370000,2020-05-29
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-06-30,2758.820000,2020-06-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-07-31,3164.680000,2020-07-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-08-31,3450.960000,2020-08-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-09-30,3148.730000,2020-09-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-10-30,3036.150000,2020-10-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-11-30,3168.040000,2020-11-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2020-12-31,3256.930000,2020-12-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-01-29,3206.200000,2021-01-29
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-02-26,3092.930000,2021-02-26
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-03-31,3094.080000,2021-03-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-04-30,3467.420000,2021-04-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-05-28,3223.070000,2021-05-28
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-06-30,3440.160000,2021-06-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-07-30,3327.590000,2021-07-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-08-31,3470.790000,2021-08-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-09-30,3285.040000,2021-09-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-10-29,3372.430000,2021-10-29
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-11-30,3507.070000,2021-11-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2021-12-31,3334.340000,2021-12-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-01-31,2991.470000,2022-01-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-02-28,3071.260000,2022-02-28
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-03-31,3259.950000,2022-03-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-04-29,2485.630000,2022-04-29
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-05-31,2404.190000,2022-05-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-06-30,106.210000,2022-06-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-07-29,134.950000,2022-07-29
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-08-31,126.770000,2022-08-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-09-30,113.000000,2022-09-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-10-31,102.440000,2022-10-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-11-30,96.540000,2022-11-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2022-12-30,84.000000,2022-12-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-01-31,103.130000,2023-01-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-02-28,94.230000,2023-02-28
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-03-31,103.290000,2023-03-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-04-28,105.450000,2023-04-28
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-05-31,120.580000,2023-05-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-06-30,130.360000,2023-06-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-07-31,133.680000,2023-07-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-08-31,138.010000,2023-08-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-09-29,127.120000,2023-09-29
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-10-31,133.090000,2023-10-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-11-30,146.090000,2023-11-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2023-12-29,151.940000,2023-12-29
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2024-01-31,155.200000,2024-01-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2024-02-29,176.760000,2024-02-29
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2024-03-28,180.380000,2024-03-28
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2024-04-30,175.000000,2024-04-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2024-05-31,176.440000,2024-05-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2024-06-28,193.250000,2024-06-28
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2024-07-31,186.980000,2024-07-31
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2024-08-30,178.500000,2024-08-30
84788,02313510,AMAZON COM INC; COM NONE; CONS,AMZN,15473,AMAZON COM INC,2024-09-30,186.330000,2024-09-30
