PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc
15358,82509L10,SHOP,55259,2023-06-30,64.600000
15358,82509L10,SHOP,55259,2023-07-31,67.580000
15358,82509L10,SHOP,55259,2023-08-31,66.490000
15358,82509L10,SHOP,55259,2023-09-29,54.570000
15358,82509L10,SHOP,55259,2023-10-31,47.190000
15358,82509L10,SHOP,55259,2023-11-30,72.820000
15358,82509L10,SHOP,55259,2023-12-29,77.900000
15358,82509L10,SHOP,55259,2024-01-31,80.070000
15358,82509L10,SHOP,55259,2024-02-29,76.370000
15358,82509L10,SHOP,55259,2024-03-28,77.170000
15358,82509L10,SHOP,55259,2024-04-30,70.200000
15358,82509L10,SHOP,55259,2024-05-31,59.150000
15358,82509L10,SHOP,55259,2024-06-28,66.050000
15358,82509L10,SHOP,55259,2024-07-31,61.200000
15358,82509L10,SHOP,55259,2024-08-30,74.070000
15358,82509L10,SHOP,55259,2024-09-30,80.140000
15358,82509L10,SHOP,55259,2024-10-31,78.210000
15358,82509L10,SHOP,55259,2024-11-29,115.600000
15358,82509L10,SHOP,55259,2024-12-31,106.330000
15358,82509L10,SHOP,55259,2025-01-31,116.800000
15358,82509L10,SHOP,55259,2025-02-28,112.000000
15358,82509L10,SHOP,55259,2025-03-31,95.480000
15358,82509L10,SHOP,55259,2025-04-30,95.000000
15358,82509L10,SHOP,55259,2025-05-30,107.220000
15358,82509L10,SHOP,55259,2025-06-30,115.350000
15358,82509L10,SHOP,55259,2025-07-31,122.210000
15358,82509L10,SHOP,55259,2025-08-29,141.280000
15358,82509L10,SHOP,55259,2025-09-30,148.610000
15358,82509L10,SHOP,55259,2025-10-31,173.860000
15358,82509L10,SHOP,55259,2025-11-28,158.640000
15358,82509L10,SHOP,55259,2025-12-31,160.970000
76932,29250N10,ENB,2381,2020-01-31,40.670000
76932,29250N10,ENB,2381,2020-02-28,37.430000
76932,29250N10,ENB,2381,2020-03-31,29.090000
76932,29250N10,ENB,2381,2020-04-30,30.680000
76932,29250N10,ENB,2381,2020-05-29,32.450000
76932,29250N10,ENB,2381,2020-06-30,30.420000
76932,29250N10,ENB,2381,2020-07-31,32.000000
76932,29250N10,ENB,2381,2020-08-31,32.020000
76932,29250N10,ENB,2381,2020-09-30,29.200000
76932,29250N10,ENB,2381,2020-10-30,27.560000
76932,29250N10,ENB,2381,2020-11-30,31.210000
76932,29250N10,ENB,2381,2020-12-31,31.990000
76932,29250N10,ENB,2381,2021-01-29,33.600000
76932,29250N10,ENB,2381,2021-02-26,33.810000
76932,29250N10,ENB,2381,2021-03-31,36.400000
76932,29250N10,ENB,2381,2021-04-30,38.570000
76932,29250N10,ENB,2381,2021-05-28,38.480000
76932,29250N10,ENB,2381,2021-06-30,40.040000
76932,29250N10,ENB,2381,2021-07-30,39.350000
76932,29250N10,ENB,2381,2021-08-31,39.310000
76932,29250N10,ENB,2381,2021-09-30,39.800000
76932,29250N10,ENB,2381,2021-10-29,41.860000
76932,29250N10,ENB,2381,2021-11-30,37.540000
76932,29250N10,ENB,2381,2021-12-31,39.080000
76932,29250N10,ENB,2381,2022-01-31,42.270000
76932,29250N10,ENB,2381,2022-02-28,43.180000
76932,29250N10,ENB,2381,2022-03-31,46.090000
76932,29250N10,ENB,2381,2022-04-29,43.640000
76932,29250N10,ENB,2381,2022-05-31,46.150000
76932,29250N10,ENB,2381,2022-06-30,42.260000
76932,29250N10,ENB,2381,2022-07-29,44.930000
76932,29250N10,ENB,2381,2022-08-31,41.220000
76932,29250N10,ENB,2381,2022-09-30,37.100000
76932,29250N10,ENB,2381,2022-10-31,38.950000
76932,29250N10,ENB,2381,2022-11-30,41.290000
76932,29250N10,ENB,2381,2022-12-30,39.100000
76932,29250N10,ENB,2381,2023-01-31,40.970000
76932,29250N10,ENB,2381,2023-02-28,37.520000
76932,29250N10,ENB,2381,2023-03-31,38.150000
76932,29250N10,ENB,2381,2023-04-28,39.760000
76932,29250N10,ENB,2381,2023-05-31,35.200000
76932,29250N10,ENB,2381,2023-06-30,37.150000
76932,29250N10,ENB,2381,2023-07-31,36.800000
76932,29250N10,ENB,2381,2023-08-31,35.080000
76932,29250N10,ENB,2381,2023-09-29,33.190000
76932,29250N10,ENB,2381,2023-10-31,32.040000
76932,29250N10,ENB,2381,2023-11-30,34.870000
76932,29250N10,ENB,2381,2023-12-29,36.020000
76932,29250N10,ENB,2381,2024-01-31,35.500000
76932,29250N10,ENB,2381,2024-02-29,34.420000
76932,29250N10,ENB,2381,2024-03-28,36.180000
76932,29250N10,ENB,2381,2024-04-30,35.540000
76932,29250N10,ENB,2381,2024-05-31,36.580000
76932,29250N10,ENB,2381,2024-06-28,35.590000
76932,29250N10,ENB,2381,2024-07-31,37.420000
76932,29250N10,ENB,2381,2024-08-30,40.180000
76932,29250N10,ENB,2381,2024-09-30,40.610000
76932,29250N10,ENB,2381,2024-10-31,40.400000
76932,29250N10,ENB,2381,2024-11-29,43.380000
76932,29250N10,ENB,2381,2024-12-31,42.430000
76932,29250N10,ENB,2381,2025-01-31,43.240000
76932,29250N10,ENB,2381,2025-02-28,42.730000
76932,29250N10,ENB,2381,2025-03-31,44.310000
76932,29250N10,ENB,2381,2025-04-30,46.690000
76932,29250N10,ENB,2381,2025-05-30,46.480000
76932,29250N10,ENB,2381,2025-06-30,45.320000
76932,29250N10,ENB,2381,2025-07-31,45.290000
76932,29250N10,ENB,2381,2025-08-29,48.340000
76932,29250N10,ENB,2381,2025-09-30,50.460000
76932,29250N10,ENB,2381,2025-10-31,46.620000
76932,29250N10,ENB,2381,2025-11-28,48.780000
76932,29250N10,ENB,2381,2025-12-31,47.830000
80070,86722410,SU,29139,2020-01-31,30.590000
80070,86722410,SU,29139,2020-02-28,27.600000
80070,86722410,SU,29139,2020-03-31,15.800000
80070,86722410,SU,29139,2020-04-30,17.850000
80070,86722410,SU,29139,2020-05-29,17.120000
80070,86722410,SU,29139,2020-06-30,16.860000
80070,86722410,SU,29139,2020-07-31,15.760000
80070,86722410,SU,29139,2020-08-31,16.030000
80070,86722410,SU,29139,2020-09-30,12.230000
80070,86722410,SU,29139,2020-10-30,11.290000
80070,86722410,SU,29139,2020-11-30,16.090000
80070,86722410,SU,29139,2020-12-31,16.780000
80070,86722410,SU,29139,2021-01-29,16.730000
80070,86722410,SU,29139,2021-02-26,19.860000
80070,86722410,SU,29139,2021-03-31,20.900000
80070,86722410,SU,29139,2021-04-30,21.420000
80070,86722410,SU,29139,2021-05-28,23.100000
80070,86722410,SU,29139,2021-06-30,23.970000
80070,86722410,SU,29139,2021-07-30,19.630000
80070,86722410,SU,29139,2021-08-31,18.650000
80070,86722410,SU,29139,2021-09-30,20.740000
80070,86722410,SU,29139,2021-10-29,26.300000
80070,86722410,SU,29139,2021-11-30,24.350000
80070,86722410,SU,29139,2021-12-31,25.030000
80070,86722410,SU,29139,2022-01-31,28.570000
80070,86722410,SU,29139,2022-02-28,30.530000
80070,86722410,SU,29139,2022-03-31,32.590000
80070,86722410,SU,29139,2022-04-29,35.940000
80070,86722410,SU,29139,2022-05-31,40.380000
80070,86722410,SU,29139,2022-06-30,35.070000
80070,86722410,SU,29139,2022-07-29,33.940000
80070,86722410,SU,29139,2022-08-31,32.320000
80070,86722410,SU,29139,2022-09-30,28.150000
80070,86722410,SU,29139,2022-10-31,34.390000
80070,86722410,SU,29139,2022-11-30,32.870000
80070,86722410,SU,29139,2022-12-30,31.730000
80070,86722410,SU,29139,2023-01-31,34.720000
80070,86722410,SU,29139,2023-02-28,33.600000
80070,86722410,SU,29139,2023-03-31,31.050000
80070,86722410,SU,29139,2023-04-28,31.320000
80070,86722410,SU,29139,2023-05-31,28.000000
80070,86722410,SU,29139,2023-06-30,29.320000
80070,86722410,SU,29139,2023-07-31,31.290000
80070,86722410,SU,29139,2023-08-31,33.880000
80070,86722410,SU,29139,2023-09-29,34.380000
80070,86722410,SU,29139,2023-10-31,32.400000
80070,86722410,SU,29139,2023-11-30,32.990000
80070,86722410,SU,29139,2023-12-29,32.040000
80070,86722410,SU,29139,2024-01-31,33.120000
80070,86722410,SU,29139,2024-02-29,34.360000
80070,86722410,SU,29139,2024-03-28,36.910000
80070,86722410,SU,29139,2024-04-30,38.190000
80070,86722410,SU,29139,2024-05-31,40.820000
80070,86722410,SU,29139,2024-06-28,38.100000
80070,86722410,SU,29139,2024-07-31,39.920000
80070,86722410,SU,29139,2024-08-30,40.540000
80070,86722410,SU,29139,2024-09-30,36.920000
80070,86722410,SU,29139,2024-10-31,37.770000
80070,86722410,SU,29139,2024-11-29,39.480000
80070,86722410,SU,29139,2024-12-31,35.680000
80070,86722410,SU,29139,2025-01-31,37.560000
80070,86722410,SU,29139,2025-02-28,38.280000
80070,86722410,SU,29139,2025-03-31,38.720000
80070,86722410,SU,29139,2025-04-30,35.290000
80070,86722410,SU,29139,2025-05-30,35.550000
80070,86722410,SU,29139,2025-06-30,37.450000
80070,86722410,SU,29139,2025-07-31,39.460000
80070,86722410,SU,29139,2025-08-29,41.300000
80070,86722410,SU,29139,2025-09-30,41.810000
80070,86722410,SU,29139,2025-10-31,39.810000
80070,86722410,SU,29139,2025-11-28,44.780000
80070,86722410,SU,29139,2025-12-31,44.360000
82654,78008710,RY,29151,2020-01-31,78.960000
82654,78008710,RY,29151,2020-02-28,74.470000
82654,78008710,RY,29151,2020-03-31,61.550000
82654,78008710,RY,29151,2020-04-30,61.590000
82654,78008710,RY,29151,2020-05-29,64.850000
82654,78008710,RY,29151,2020-06-30,67.800000
82654,78008710,RY,29151,2020-07-31,69.090000
82654,78008710,RY,29151,2020-08-31,76.120000
82654,78008710,RY,29151,2020-09-30,70.140000
82654,78008710,RY,29151,2020-10-30,69.990000
82654,78008710,RY,29151,2020-11-30,81.980000
82654,78008710,RY,29151,2020-12-31,82.060000
82654,78008710,RY,29151,2021-01-29,80.870000
82654,78008710,RY,29151,2021-02-26,85.090000
82654,78008710,RY,29151,2021-03-31,92.210000
82654,78008710,RY,29151,2021-04-30,95.400000
82654,78008710,RY,29151,2021-05-28,103.990000
82654,78008710,RY,29151,2021-06-30,101.310000
82654,78008710,RY,29151,2021-07-30,101.140000
82654,78008710,RY,29151,2021-08-31,102.760000
82654,78008710,RY,29151,2021-09-30,99.480000
