PERMNO,HdrCUSIP,SecurityNm,Ticker,PERMCO,IssuerNm,MthCalDt,MthPrc,MthPrcDt
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-09-30,20.740000,2021-09-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-10-29,26.300000,2021-10-29
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-11-30,24.350000,2021-11-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2021-12-31,25.030000,2021-12-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-01-31,28.570000,2022-01-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-02-28,30.530000,2022-02-28
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-03-31,32.590000,2022-03-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-04-29,35.940000,2022-04-29
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-05-31,40.380000,2022-05-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-06-30,35.070000,2022-06-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-07-29,33.940000,2022-07-29
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-08-31,32.320000,2022-08-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-09-30,28.150000,2022-09-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-10-31,34.390000,2022-10-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-11-30,32.870000,2022-11-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2022-12-30,31.730000,2022-12-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-01-31,34.720000,2023-01-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-02-28,33.600000,2023-02-28
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-03-31,31.050000,2023-03-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-04-28,31.320000,2023-04-28
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-05-31,28.000000,2023-05-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-06-30,29.320000,2023-06-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-07-31,31.290000,2023-07-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-08-31,33.880000,2023-08-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-09-29,34.380000,2023-09-29
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-10-31,32.400000,2023-10-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-11-30,32.990000,2023-11-30
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2023-12-29,32.040000,2023-12-29
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-01-31,33.120000,2024-01-31
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-02-29,34.360000,2024-02-29
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-03-28,36.910000,2024-03-28
80070,86722410,SUNCOR ENERGY INC NEW; COM NONE; CONS,SU,29139,SUNCOR ENERGY INC NEW,2024-04-30,38.190000,2024-04-30
