PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc
84788,02313510,AMZN,15473,2024-08-30,178.500000
84788,02313510,AMZN,15473,2024-09-30,186.330000
84788,02313510,AMZN,15473,2024-10-31,186.400000
84788,02313510,AMZN,15473,2024-11-29,207.890000
84788,02313510,AMZN,15473,2024-12-31,219.390000
84788,02313510,AMZN,15473,2025-01-31,237.680000
84788,02313510,AMZN,15473,2025-02-28,212.280000
84788,02313510,AMZN,15473,2025-03-31,190.260000
84788,02313510,AMZN,15473,2025-04-30,184.420000
84788,02313510,AMZN,15473,2025-05-30,205.010000
84788,02313510,AMZN,15473,2025-06-30,219.390000
84788,02313510,AMZN,15473,2025-07-31,234.110000
84788,02313510,AMZN,15473,2025-08-29,229.000000
84788,02313510,AMZN,15473,2025-09-30,219.570000
84788,02313510,AMZN,15473,2025-10-31,244.220000
84788,02313510,AMZN,15473,2025-11-28,233.220000
84788,02313510,AMZN,15473,2025-12-31,230.820000
85419,14047520,CSU,32102,2020-01-31,2.790000
85419,14047520,CSU,32102,2020-02-28,2.560000
85419,14047520,CSU,32102,2020-03-31,0.580000
85419,14047520,CSU,32102,2020-04-30,0.780400
85419,14047520,CSU,32102,2020-05-29,0.660000
85419,14047520,CSU,32102,2020-06-30,0.710000
85419,14047520,CSU,32102,2020-07-31,0.647900
85419,14047520,CSU,32102,2020-08-31,0.700100
85419,14047520,CSU,32102,2020-09-30,0.628200
85419,14047520,CSU,32102,2020-10-30,0.496100
85419,14047520,CSU,32102,2020-11-30,0.870000
85419,14047520,CSU,32102,2020-12-31,12.340000
85419,14047520,CSU,32102,2021-01-29,24.500000
85419,14047520,CSU,32102,2021-02-26,31.280000
85419,14047520,CSU,32102,2021-03-31,38.500000
85419,14047520,CSU,32102,2021-04-30,40.220000
85419,14047520,CSU,32102,2021-05-28,46.680000
85419,14047520,CSU,32102,2021-06-30,49.500000
85419,14047520,CSU,32102,2021-07-30,28.000000
85419,14047520,CSU,32102,2021-08-31,36.880000
85419,14047520,CSU,32102,2021-09-30,35.220000
85419,14047520,CSU,32102,2021-10-29,28.220000
86115,15101Q20,CLS,34775,2020-01-31,9.040000
86115,15101Q20,CLS,34775,2020-02-28,6.320000
86115,15101Q20,CLS,34775,2020-03-31,3.500000
86115,15101Q20,CLS,34775,2020-04-30,6.230000
86115,15101Q20,CLS,34775,2020-05-29,6.780000
86115,15101Q20,CLS,34775,2020-06-30,6.830000
86115,15101Q20,CLS,34775,2020-07-31,8.270000
86115,15101Q20,CLS,34775,2020-08-31,7.950000
86115,15101Q20,CLS,34775,2020-09-30,6.900000
86115,15101Q20,CLS,34775,2020-10-30,5.870000
86115,15101Q20,CLS,34775,2020-11-30,7.530000
86115,15101Q20,CLS,34775,2020-12-31,8.070000
86115,15101Q20,CLS,34775,2021-01-29,8.070000
86115,15101Q20,CLS,34775,2021-02-26,8.280000
86115,15101Q20,CLS,34775,2021-03-31,8.370000
86115,15101Q20,CLS,34775,2021-04-30,8.330000
86115,15101Q20,CLS,34775,2021-05-28,8.620000
86115,15101Q20,CLS,34775,2021-06-30,7.850000
86115,15101Q20,CLS,34775,2021-07-30,8.870000
86115,15101Q20,CLS,34775,2021-08-31,9.500000
86115,15101Q20,CLS,34775,2021-09-30,8.880000
86115,15101Q20,CLS,34775,2021-10-29,9.820000
86115,15101Q20,CLS,34775,2021-11-30,10.230000
86115,15101Q20,CLS,34775,2021-12-31,11.130000
86115,15101Q20,CLS,34775,2022-01-31,12.450000
86115,15101Q20,CLS,34775,2022-02-28,11.890000
86115,15101Q20,CLS,34775,2022-03-31,11.910000
86115,15101Q20,CLS,34775,2022-04-29,11.230000
86115,15101Q20,CLS,34775,2022-05-31,11.030000
86115,15101Q20,CLS,34775,2022-06-30,9.720000
86115,15101Q20,CLS,34775,2022-07-29,10.540000
86115,15101Q20,CLS,34775,2022-08-31,10.320000
86115,15101Q20,CLS,34775,2022-09-30,8.410000
86115,15101Q20,CLS,34775,2022-10-31,10.960000
86115,15101Q20,CLS,34775,2022-11-30,11.160000
86115,15101Q20,CLS,34775,2022-12-30,11.270000
86115,15101Q20,CLS,34775,2023-01-31,13.330000
86115,15101Q20,CLS,34775,2023-02-28,12.950000
86115,15101Q20,CLS,34775,2023-03-31,12.900000
86115,15101Q20,CLS,34775,2023-04-28,10.860000
86115,15101Q20,CLS,34775,2023-05-31,12.730000
86115,15101Q20,CLS,34775,2023-06-30,14.500000
86115,15101Q20,CLS,34775,2023-07-31,21.980000
86115,15101Q20,CLS,34775,2023-08-31,23.310000
86115,15101Q20,CLS,34775,2023-09-29,24.520000
86115,15101Q20,CLS,34775,2023-10-31,23.350000
86115,15101Q20,CLS,34775,2023-11-30,26.960000
86115,15101Q20,CLS,34775,2023-12-29,29.280000
86115,15101Q20,CLS,34775,2024-01-31,34.360000
86115,15101Q20,CLS,34775,2024-02-29,42.530000
86115,15101Q20,CLS,34775,2024-03-28,44.940000
86115,15101Q20,CLS,34775,2024-04-30,43.330000
86115,15101Q20,CLS,34775,2024-05-31,55.920000
86115,15101Q20,CLS,34775,2024-06-28,57.330000
86115,15101Q20,CLS,34775,2024-07-31,52.440000
86115,15101Q20,CLS,34775,2024-08-30,50.920000
86115,15101Q20,CLS,34775,2024-09-30,51.120000
86115,15101Q20,CLS,34775,2024-10-31,68.400000
86115,15101Q20,CLS,34775,2024-11-29,85.240000
86115,15101Q20,CLS,34775,2024-12-31,92.300000
86115,15101Q20,CLS,34775,2025-01-31,123.470000
86115,15101Q20,CLS,34775,2025-02-28,107.050000
86115,15101Q20,CLS,34775,2025-03-31,78.810000
86115,15101Q20,CLS,34775,2025-04-30,85.350000
86115,15101Q20,CLS,34775,2025-05-30,115.380000
86115,15101Q20,CLS,34775,2025-06-30,156.110000
86115,15101Q20,CLS,34775,2025-07-31,199.860000
86115,15101Q20,CLS,34775,2025-08-29,194.750000
86115,15101Q20,CLS,34775,2025-09-30,246.380000
86115,15101Q20,CLS,34775,2025-10-31,344.480000
86115,15101Q20,CLS,34775,2025-11-28,344.410000
86115,15101Q20,CLS,34775,2025-12-31,295.610000
86580,67066G10,NVDA,16382,2020-01-31,236.430000
86580,67066G10,NVDA,16382,2020-02-28,270.070000
86580,67066G10,NVDA,16382,2020-03-31,263.600000
86580,67066G10,NVDA,16382,2020-04-30,292.280000
86580,67066G10,NVDA,16382,2020-05-29,355.020000
86580,67066G10,NVDA,16382,2020-06-30,379.910000
86580,67066G10,NVDA,16382,2020-07-31,424.590000
